,InventoryDate,ItemClass,ProductType,PTypeGroup,SalesFloor,total_Quantity,total_Cost,avg_Cost,avg_Price
0,2016-06-01,Used,$$,HARDBACK  ,Sales Floor,40550,0.0,0.0,3.58106
1,2017-01-01,Used,$$,HARDBACK  ,Sales Floor,33075,0.0,0.0,3.245449
2,2017-06-01,Used,$$,HARDBACK  ,Sales Floor,97300,0.0,0.0,2.858242
3,2018-01-01,Used,$$,HARDBACK  ,Sales Floor,56078,45942.66,0.819263,4.764146
4,2018-06-01,Used,$$,HARDBACK  ,Sales Floor,32825,0.0,0.0,3.017958
5,2016-06-01,Used,$$,HARDBACK  ,Not On Sales Floor,2775,0.0,0.0,5.262432
6,2017-01-01,Used,$$,HARDBACK  ,Not On Sales Floor,4225,0.0,0.0,6.258934
7,2017-06-01,Used,$$,HARDBACK  ,Not On Sales Floor,14225,0.0,0.0,5.746608
8,2018-01-01,Used,$$,HARDBACK  ,Not On Sales Floor,7525,6137.5,0.815614,2.531196
9,2018-06-01,Used,$$,HARDBACK  ,Not On Sales Floor,9925,0.0,0.0,6.088513
10,2018-06-01,Used,BBRD,BBY       ,Sales Floor,25,0.0,0.0,75.0
11,2018-01-01,Used,BBRF,BBY       ,Sales Floor,25,0.0,0.0,50.0
12,2018-06-01,Used,BBRF,BBY       ,Sales Floor,100,0.0,0.0,50.0
13,2015-06-01,Used,BBY,BBY       ,Sales Floor,25,,,19.99
14,2016-01-01,Used,BBY,BBY       ,Sales Floor,25,,,20.0
15,2018-01-01,Used,BBY,BBY       ,Sales Floor,330,0.0,0.0,28.333333
16,2018-06-01,Used,BBY,BBY       ,Sales Floor,200,0.0,0.0,50.0
17,2015-01-01,Used,BBY,BBY       ,Not On Sales Floor,525,,,20.0
18,2015-06-01,Used,BBY,BBY       ,Not On Sales Floor,325,,,19.038461
19,2016-01-01,Used,BBY,BBY       ,Not On Sales Floor,200,,,20.0
20,2018-01-01,Used,BBY,BBY       ,Not On Sales Floor,225,0.0,0.0,36.666666
21,2018-06-01,Used,BBY,BBY       ,Not On Sales Floor,475,0.0,0.0,36.842105
22,2018-01-01,Used,BBYC,BBY       ,Not On Sales Floor,50,0.0,0.0,14.99
23,2015-01-01,Used,BCD,AUDIO     ,Sales Floor,40675,74418.25,1.829582,10.773202
24,2015-06-01,Used,BCD,AUDIO     ,Sales Floor,47850,87361.75,1.825741,10.740637
25,2016-01-01,Used,BCD,AUDIO     ,Sales Floor,53600,95256.0,1.777164,10.492616
26,2016-06-01,Used,BCD,AUDIO     ,Sales Floor,50125,88144.0,1.758483,11.042084
27,2017-01-01,Used,BCD,AUDIO     ,Sales Floor,58100,103844.5,1.78734,11.075223
28,2017-06-01,Used,BCD,AUDIO     ,Sales Floor,59675,104402.04,1.74951,11.429302
29,2018-01-01,Used,BCD,AUDIO     ,Sales Floor,54921,93679.66,1.705716,11.658342
30,2018-06-01,Used,BCD,AUDIO     ,Sales Floor,53069,88629.26,1.670075,11.453912
31,2019-01-01,Used,BCD,AUDIO     ,Sales Floor,61610,97306.18,1.579389,11.377694
32,2019-06-01,Used,BCD,AUDIO     ,Sales Floor,68280,103849.37,1.520933,11.057743
33,2015-01-01,Used,BCD,AUDIO     ,Not On Sales Floor,14550,25752.75,1.769948,10.663264
34,2015-06-01,Used,BCD,AUDIO     ,Not On Sales Floor,12900,23618.0,1.830852,10.599844
35,2016-01-01,Used,BCD,AUDIO     ,Not On Sales Floor,12400,21494.75,1.733447,9.799858
36,2016-06-01,Used,BCD,AUDIO     ,Not On Sales Floor,14575,26495.25,1.817855,10.247358
37,2017-01-01,Used,BCD,AUDIO     ,Not On Sales Floor,13050,23970.75,1.836839,10.313103
38,2017-06-01,Used,BCD,AUDIO     ,Not On Sales Floor,12819,24123.23,1.881833,9.552642
39,2018-01-01,Used,BCD,AUDIO     ,Not On Sales Floor,11516,20748.82,1.801738,9.943137
40,2018-06-01,Used,BCD,AUDIO     ,Not On Sales Floor,17873,31151.23,1.742921,9.175238
41,2019-01-01,Used,BCD,AUDIO     ,Not On Sales Floor,16599,27193.43,1.638257,10.062219
42,2019-06-01,Used,BCD,AUDIO     ,Not On Sales Floor,14416,22423.77,1.555477,9.484818
43,2015-06-01,Used,BCDD,AUDIO     ,Sales Floor,825,824.25,0.99909,9.99
44,2017-01-01,Used,BCDD,AUDIO     ,Sales Floor,25,20.0,0.8,7.99
45,2017-06-01,Used,BCDD,AUDIO     ,Sales Floor,75,15.0,0.2,2.0
46,2018-01-01,Used,BCDD,AUDIO     ,Sales Floor,126,45.4,0.360317,3.974358
47,2018-01-01,Used,BCDD,AUDIO     ,Not On Sales Floor,25,20.0,0.8,7.99
48,2015-01-01,Used,BDGU,SIDELINE  ,Sales Floor,5350,7339.75,1.371915,12.095186
49,2015-06-01,Used,BDGU,SIDELINE  ,Sales Floor,7250,10039.0,1.384689,12.855827
50,2016-01-01,Used,BDGU,SIDELINE  ,Sales Floor,7475,11369.75,1.521036,12.699096
51,2016-06-01,Used,BDGU,SIDELINE  ,Sales Floor,11250,25407.75,2.258466,12.933533
52,2017-01-01,Used,BDGU,SIDELINE  ,Sales Floor,10900,25034.0,2.296697,12.817316
53,2017-06-01,Used,BDGU,SIDELINE  ,Sales Floor,16193,38369.47,2.369509,14.643378
54,2018-01-01,Used,BDGU,SIDELINE  ,Sales Floor,17434,43269.48,2.481902,15.297698
55,2018-06-01,Used,BDGU,SIDELINE  ,Sales Floor,21426,53901.64,2.515711,15.177653
56,2019-01-01,Used,BDGU,SIDELINE  ,Sales Floor,20949,53623.1,2.559697,13.376019
57,2019-06-01,Used,BDGU,SIDELINE  ,Sales Floor,24921,64152.03,2.574215,13.206772
58,2015-01-01,Used,BDGU,SIDELINE  ,Not On Sales Floor,425,648.5,1.525882,15.46
59,2015-06-01,Used,BDGU,SIDELINE  ,Not On Sales Floor,850,1209.75,1.423235,9.372647
60,2016-01-01,Used,BDGU,SIDELINE  ,Not On Sales Floor,500,697.0,1.394,19.2165
